user_id,experienced,group,patient_id,transform_type,task_id,task_index,duration_seconds,a_vertebralis_r_rel,a_vertebralis_r_abs_5,a_vertebralis_l_rel,a_vertebralis_l_abs_5,a_carotisexterna_r_rel,a_carotisexterna_r_abs_5,a_carotisexterna_l_rel,a_carotisexterna_l_abs_5,lymph_node_abs,lymph_node_tre_linear,lymph_node_tre_nonlinear,recurrence,slider_total_distance_mm,slider_usage_count,pan_total_distance_px,pan_usage_count,zoom_total_distance_px,zoom_usage_count,window_level_total_distance_px,window_level_usage_count,drag_scroll_total_distance_px,drag_scroll_usage_count,wheel_scroll_distance_c,double_click_Red1_count,double_click_Red2_count,double_click_Green1_count,double_click_Green2_count,double_click_Yellow1_count,double_click_Yellow2_count,synchronised_count,arrow_key_Red1_count,arrow_key_Red2_count,arrow_key_Green1_count,arrow_key_Green2_count,arrow_key_Yellow1_count,arrow_key_Yellow2_count
rad_1,False,1,g-chOlbtzBQ,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0090,21.712,,,,,,,6.076394103166584,False,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,F-JlS0Cl1K0,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0129,20.276,2.135808656637602,True,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,F-JlS0Cl1K0,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0130,10.214,,,4.250765713422281,True,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,F-JlS0Cl1K0,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0131,16.241,,,,,0.6008247032443699,True,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,F-JlS0Cl1K0,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0132,9.948,,,,,,,2.120801295323681,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,I307KZkh1VM,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0135,25.165,7.133942294675792,False,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,I307KZkh1VM,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0136,10.65,,,4.934000490059478,True,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,I307KZkh1VM,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0137,12.008,,,,,2.5596515856712525,True,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,I307KZkh1VM,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0138,17.035,,,,,,,1.2993313804392936,True,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,yYcNJD5knnY,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0141,15.702,2.723869972978648,True,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,yYcNJD5knnY,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0142,9.659,,,0.7172431233251861,True,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,yYcNJD5knnY,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0143,13.891,,,,,3.5166731765169144,True,,,,,,,0.0,0.0,497.6946855251721,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,yYcNJD5knnY,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0144,11.751,,,,,,,2.136302507378029,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,VUIaoA1iqhI,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0159,9.123,2.873866675160406,True,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,VUIaoA1iqhI,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0160,29.127,,,2.79606136153776,True,,,,,,,,,0.0,0.0,23.915802461647605,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,VUIaoA1iqhI,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0161,13.904,,,,,2.1515351539803262,True,,,,,,,0.0,0.0,638.5209471896752,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,VUIaoA1iqhI,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0162,9.456,,,,,,,0.8503745154058069,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,XKgRKTaLeEo,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0171,17.319,1.5074435451760393,True,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,XKgRKTaLeEo,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0172,12.771,,,3.883352052624988,True,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rad_1,False,1,XKgRKTaLeEo,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0173,16.273,,,,,6.798222817512524,False,,,,,,,0.0,0.0,519.8628253914171,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
