,user_id,experienced,group,patient_id,transform_type,task_id,task_index,duration_seconds,bifurcation_error,abs,recurrence_confusion,recurrence_abs,tre,dsc,slider_total_distance_mm,slider_usage_count,pan_total_distance_px,pan_usage_count,zoom_total_distance_px,zoom_usage_count,window_level_total_distance_px,window_level_usage_count,drag_scroll_total_distance_px,drag_scroll_usage_count,wheel_scroll_distance_c,double_click_Red1_count,double_click_Red2_count,double_click_Green1_count,double_click_Green2_count,double_click_Yellow1_count,double_click_Yellow2_count,synchronised_count,synchronised_duration_seconds,arrow_key_Red1_count,arrow_key_Red2_count,arrow_key_Green1_count,arrow_key_Green2_count,arrow_key_Yellow1_count,arrow_key_Yellow2_count,pan_total_distance_px__z,pan_usage_count__z,zoom_total_distance_px__z,zoom_usage_count__z,slider_total_distance_mm__z,slider_usage_count__z,drag_scroll_total_distance_px__z,drag_scroll_usage_count__z,wheel_scroll_distance_c__z
0,rad_1,False,1,hkvdD_XVYqo,TransformType.NONLINEAR,a_vertebralis_r,task_idx_0039,72.668,5.376340028985703,False,,,57.4,0.537062,0.0,0.0,461.41087980237313,2.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,13.431,0.0,0.0,0.0,0.0,0.0,0.0,-0.16194780457891203,-0.40073713451606907,-0.38601297052238326,-0.40014984902494644,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,0.7407267200872463
1,rad_1,False,1,hkvdD_XVYqo,TransformType.NONLINEAR,a_vertebralis_l,task_idx_0040,60.94,24.666311402573008,False,,,64.78,0.537062,0.0,0.0,0.0,0.0,0.0,0.0,167.25465584061482,11.0,569.5826257426734,112.0,155.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.547,0.0,0.0,0.0,0.0,0.0,0.0,-0.45874937071376254,-0.4478826797532537,-0.38601297052238326,-0.40014984902494644,-0.11867816581938535,-0.1186781658193853,-0.014110505787834066,0.7176851116402154,0.5953209059022676
2,rad_1,False,1,hkvdD_XVYqo,TransformType.NONLINEAR,a_carotisexterna_r,task_idx_0041,48.56,12.770998818186436,False,,,3.97,0.537062,0.0,0.0,1241.284722367613,31.0,733.6737564335189,44.0,0.0,0.0,0.0,0.0,121.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.989,0.0,0.0,0.0,0.0,0.0,0.0,0.3397043843770723,0.2828732714231076,0.422764598789925,0.7050591498512787,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,0.3803731805853427
3,rad_1,False,1,hkvdD_XVYqo,TransformType.NONLINEAR,a_carotisexterna_l,task_idx_0042,43.05,19.21001792703405,False,,,2.29,0.537062,0.0,0.0,813.7158494695731,28.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06467161713715594,0.2121549535673307,-0.38601297052238326,-0.40014984902494644,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,0.5637109462968375
4,rad_1,False,1,hkvdD_XVYqo,TransformType.NONLINEAR,lymph_node,task_idx_0043,41.033,,True,,,3.2,0.537062,0.0,0.0,1344.7311988235488,31.0,126.39366315418454,12.0,0.0,0.0,188.65845751442956,19.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4062461101300586,0.2828732714231076,-0.24668079628836734,-0.09872921296779409,-0.11867816581938535,-0.1186781658193853,-0.24941908089129772,-0.19178110856093572,-0.04952227004850723
5,rad_1,False,1,hkvdD_XVYqo,TransformType.NONLINEAR,recurrence,task_idx_0044,203.801,,,fp,False,,0.537062,0.0,0.0,398.52440142251714,26.0,140.80673144353173,18.0,2759.900598539087,126.0,0.0,0.0,971.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,105.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.2023993979176755,0.1650094083301461,-0.23079230874854237,0.05198110506078206,-0.11867816581938535,-0.1186781658193853,-0.3659592128168157,-0.3775860352686978,5.754066313508466
6,rad_1,False,1,ccucLKGWtSQ,TransformType.LINEAR,a_vertebralis_r,task_idx_0045,48.778,3.881549750792389,True,,,44.55,0.389247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.392,0.0,0.0,0.0,0.0,0.0,0.0,-0.46691564842769895,-0.4239203547200732,-0.40475349160895935,-0.4299157945290401,0.0,0.0,-0.3811298933926365,-0.44045879676620686,1.1690829835342764
7,rad_1,False,1,ccucLKGWtSQ,TransformType.LINEAR,a_vertebralis_l,task_idx_0046,27.474,8.07555281785985,False,,,47.14,0.389247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46691564842769895,-0.4239203547200732,-0.40475349160895935,-0.4299157945290401,0.0,0.0,-0.3811298933926365,-0.44045879676620686,-0.1420381194948186
8,rad_1,False,1,ccucLKGWtSQ,TransformType.LINEAR,a_carotisexterna_r,task_idx_0047,51.241,18.056001485061177,False,,,10.95,0.389247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.633,0.0,0.0,0.0,0.0,0.0,0.0,-0.46691564842769895,-0.451517339837474,-0.40475349160895935,-0.4299157945290401,0.0,0.0,-0.3811298933926365,-0.44045879676620686,0.5697133364352616
9,rad_1,False,1,ccucLKGWtSQ,TransformType.LINEAR,a_carotisexterna_l,task_idx_0048,27.34,24.827484431827305,False,,,11.49,0.389247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46691564842769895,-0.4239203547200732,-0.40475349160895935,-0.4299157945290401,0.0,0.0,-0.3811298933926365,-0.44045879676620686,-0.039021461399675425
